rule,results_min5_iters74.txt,results_min5_iters500.txt
NP --> DT JJ JJ NN NN,1.83482e-10,1.82985e-10
NP --> DT JJ JJ NNS,7.04278e-05,7.0908e-05
NP --> DT JJ JJR,0.000232009,0.000231606
NP --> DT JJ JJR NNS,2.53099e-05,2.49104e-05
NP --> DT JJ NN,0.0220284,0.0219736
NP --> DT JJ NN ADVP,1.83392e-10,1.82896e-10
NP --> DT JJ NN JJR,0.00014257,0.000142294
NP --> DT JJ NN NN,0.000170296,0.000140577
NP --> DT JJ NN NNS,1.83365e-10,1.82871e-10
NP --> DT JJ NN POS,1.83569e-10,1.8308e-10
NP --> DT JJ NN PP,0.00120181,0.00118183
NP --> DT JJ NNP,5.29442e-05,5.23185e-05
NP --> DT JJ NNP NN,1.61938e-05,1.58524e-05
NP --> DT JJ NNS,0.00175161,0.00174437
NP --> DT JJ NNS PP,6.31597e-05,6.32599e-05
NP --> DT JJ VBG NN,1.83187e-10,1.82695e-10
NP --> DT JJR,0.00119857,0.00119572
NP --> DT JJR JJ NN,1.83765e-10,1.83265e-10
NP --> DT JJR NN,0.000544345,0.000541475
NP --> DT JJR NN NN,1.83706e-10,1.83192e-10
NP --> DT JJR NNS,0.000343316,0.000342291
NP --> DT JJR PP,1.83768e-10,1.83276e-10
NP --> DT JJS,0.000357196,0.000354471
NP --> DT JJS NN,0.000208037,0.000209432
NP --> DT NN,0.0937828,0.0935038
NP --> DT NN ADVP,1.83579e-10,1.83081e-10
NP --> DT NN CC NN,0.000377427,0.000374103
NP --> DT NN CD,1.96848e-05,2.00853e-05
NP --> DT NN DT NN,1.83386e-10,1.82894e-10
NP --> DT NN JJR,2.5375e-05,2.52718e-05
NP --> DT NN NN,0.0058173,0.00571163
NP --> DT NN NN NN,1.83514e-10,1.83012e-10
NP --> DT NN NN PP,1.8364e-10,1.83142e-10
NP --> DT NN NNP,0.000828034,0.000815732
NP --> DT NN NNS,1.83572e-10,1.83076e-10
NP --> DT NN NP,1.83521e-10,1.83027e-10
NP --> DT NN POS,0.000421554,0.000418172
NP --> DT NN PP,0.00688378,0.00682499
NP --> DT NN S,1.83438e-10,1.82944e-10
NP --> DT NN SBAR,0.000190098,0.000191262
NP --> DT NN VBG,1.83524e-10,1.83032e-10
NP --> DT NNP,0.00119986,0.00119732
NP --> DT NNP NN,0.000691233,0.000684544
NP --> DT NNP NN NN,1.83773e-10,1.8327e-10
NP --> DT NNP NNP,0.000132846,0.000132649
NP --> DT NNP NNP NN,1.7466e-05,1.73821e-05
NP --> DT NNP NNP NNP,1.83297e-10,1.82809e-10
NP --> DT NNP NNS,7.20408e-05,7.15248e-05
NP --> DT NNP POS,3.34075e-05,3.48842e-05
NP --> DT NNP PP,1.83522e-10,1.83021e-10
NP --> DT NNPS,1.83686e-10,1.83193e-10
NP --> DT NNS,0.0129333,0.0128828
NP --> DT NNS ADVP,1.83511e-10,1.83014e-10
NP --> DT NNS CC NNS,6.27176e-05,6.23661e-05
NP --> DT NNS NN,0.000142177,0.000131877
NP --> DT NNS PP,0.00157021,0.00157728
NP --> DT NP,1.83452e-10,1.8296e-10
NP --> DT NP CC NP,1.83351e-10,1.82854e-10
NP --> DT NP NN,1.83486e-10,1.8299e-10
NP --> DT PP,1.83446e-10,1.82955e-10
NP --> DT PRP,0.000444587,0.000443718
NP --> DT PRP$ NN,1.8311e-10,1.82618e-10
NP --> DT PRP$ NNS,1.83088e-10,1.82596e-10
NP --> DT RB,0.000511185,0.000512776
NP --> DT RB JJ NN,0.000269942,0.000272891
NP --> DT RB NN,1.83315e-10,1.82813e-10
NP --> DT VB,0.00745082,0.00742726
NP --> DT VBG,1.83184e-10,1.82692e-10
NP --> DT VBG NN,1.83149e-10,1.82658e-10
NP --> DT VBN NN,1.4917e-05,1.49578e-05
NP --> DT WP,0.00381178,0.00380029
NP --> JJ CD,3.01175e-05,3.03495e-05
NP --> JJ CD NN,1.83556e-10,1.83057e-10
NP --> JJ DT JJ NN,1.83565e-10,1.83074e-10
NP --> JJ DT NN,0.000387955,0.000456367
NP --> JJ JJ JJ NNS,5.93396e-05,5.98295e-05
NP --> JJ JJ NN,1.83589e-10,1.83096e-10
NP --> JJ JJ NNP,9.9183e-05,9.95664e-05
NP --> JJ JJ NNS,0.000222591,0.000223983
NP --> JJ NN,0.0217179,0.0217517
NP --> JJ NN NN,1.8334e-10,1.82848e-10
NP --> JJ NN NNS,1.83503e-10,1.83009e-10
NP --> JJ NN POS,1.83363e-10,1.82867e-10
NP --> JJ NN PP,1.83562e-10,1.83064e-10
NP --> JJ NNP,0.00421938,0.00420869
NP --> JJ NNP NN,1.83292e-10,1.82797e-10
NP --> JJ NNS,0.00460368,0.00457685
NP --> JJ NNS PP,0.000168827,0.000172201
NP --> JJ NP,4.92657e-05,5.04977e-05
NP --> JJ PP,0.00693761,0.00694767
NP --> JJR NN,0.00041533,0.000414563
NP --> JJR NN NN,1.83293e-10,1.82799e-10
NP --> JJR NNS,0.000316233,0.000316865
NP --> JJR PP,0.000466813,0.000466808
NP --> JJS NNS,1.80901e-05,1.80579e-05
NP --> NN ADJP,0.00309341,0.00307654
NP --> NN ADVP,0.00249127,0.00250777
NP --> NN CC NN,0.00135887,0.00134962
NP --> NN CD,0.000223855,0.000222666
NP --> NN DT,0.00129935,0.00129197
NP --> NN DT NN,1.83421e-10,1.82929e-10
NP --> NN JJ,0.00819258,0.0082139
NP --> NN JJ NN,1.83351e-10,1.82858e-10
NP --> NN JJ NNS,1.83339e-10,1.82845e-10
NP --> NN NN,0.0108978,0.0108875
NP --> NN NN NN,1.83381e-10,1.82887e-10
NP --> NN NN NNS,1.83377e-10,1.82886e-10
NP --> NN NN POS,1.832e-10,1.82708e-10
NP --> NN NNP,0.0329795,0.032803
NP --> NN NNS,0.00157574,0.00157942
NP --> NN NP,0.00383936,0.00388415
NP --> NN POS,0.0237213,0.0236785
NP --> NN PP,0.0105122,0.0106084
NP --> NN RB,0.0401372,0.0399979
NP --> NN S,0.000601247,0.000609084
NP --> NN SBAR,3.82785e-05,4.18344e-05
NP --> NN VP,0.00327375,0.00328059
NP --> NNP CC NNP,0.00165986,0.0016555
NP --> NNP CC NNP CC NNP,0.000121874,0.000121631
NP --> NNP CC NNP POS,7.79126e-05,7.88983e-05
NP --> NNP CC PRP,0.000488329,0.00048488
NP --> NNP CD,8.0143e-05,7.98606e-05
NP --> NNP DT NN,1.83398e-10,1.82905e-10
NP --> NNP NN,0.00967539,0.00965289
NP --> NNP NN NN,1.83246e-10,1.82753e-10
NP --> NNP NNP,0.00475163,0.00472663
NP --> NNP NNP NNP,1.83604e-10,1.83112e-10
NP --> NNP NNP POS,0.000108591,0.000108754
NP --> NNP NNS,0.00030725,0.000306648
NP --> NNP NP,0.00791068,0.00782988
NP --> NNP POS,0.00403789,0.0040657
NP --> NNP PP,0.00366917,0.00365101
NP --> NNP S,0.000597193,0.000583824
NP --> NNP VP,0.0108159,0.010777
NP --> NNP WHNP,0.000712377,0.000712269
NP --> NNS CC NN,0.00027978,0.00027842
NP --> NNS CC NNS,0.000404415,0.000403065
NP --> NNS NNS,6.91103e-05,6.77187e-05
NP --> NNS PP,0.00416924,0.00415821
NP --> NOT DT JJ NN,1.8309e-10,1.82599e-10
NP --> NOT DT NN,1.83106e-10,1.82615e-10
